Ano,Mês,Bairro,Utilização,Tipologia,Total,Valor Recolhido
2013,02,VARGEM GRANDE,TERRITORIAL,TERRENO,14,68287.6
2013,02,VARGEM GRANDE,NAO RESIDENCIAL,LOJA,1,5092.92
2013,02,VARGEM GRANDE,NAO RESIDENCIAL,GALPAO,1,32000
2013,02,VASCO DA GAMA,RESIDENCIAL,CASA,2,3357
2013,02,VIGARIO GERAL,RESIDENCIAL,CASA,1,1440
2013,02,VIGARIO GERAL,RESIDENCIAL,APARTAMENTO,2,4260
2013,02,VIGARIO GERAL,RESIDENCIAL,CASA/APTO (PROLETARIO),1,1960
2013,02,VIGARIO GERAL,TERRITORIAL,TERRENO,1,194.29
2013,02,VIGARIO GERAL,NAO RESIDENCIAL,GALPAO,1,549.25
2013,02,VIGARIO GERAL,NAO RESIDENCIAL,INDUSTRIA,2,4565.04
2013,02,VILA DA PENHA,RESIDENCIAL,CASA,3,17999.53
2013,02,VILA DA PENHA,RESIDENCIAL,APARTAMENTO,24,132430.93
2013,02,VILA DA PENHA,RESIDENCIAL,CASA/APTO (PROLETARIO),1,5400
2013,02,VILA DA PENHA,NAO RESIDENCIAL,SALA,2,6296.22
2013,02,CIDADE DE DEUS,RESIDENCIAL,CASA,1,1000
2013,02,CIDADE DE DEUS,RESIDENCIAL,APARTAMENTO,1,1283.05
2013,02,CIDADE DE DEUS,RESIDENCIAL,CASA/APTO (PROLETARIO),3,2742.82
2013,02,HONORIO GURGEL,RESIDENCIAL,CASA,2,2564.84
2013,02,HONORIO GURGEL,RESIDENCIAL,APARTAMENTO,1,2125.72
2013,02,HONORIO GURGEL,NAO RESIDENCIAL,ESPECIAL,1,6600.93
2013,02,JARDIM AMERICA,RESIDENCIAL,CASA,4,12952.93
2013,02,JARDIM AMERICA,RESIDENCIAL,APARTAMENTO,2,2954.28
2013,02,JARDIM AMERICA,NAO RESIDENCIAL,GALPAO,1,16930.17
2013,02,JARDIM CARIOCA,RESIDENCIAL,CASA,1,37038.44
2013,02,JARDIM CARIOCA,RESIDENCIAL,APARTAMENTO,2,9400
2013,02,JARDIM CARIOCA,NAO RESIDENCIAL,LOJA,3,10543.52
2013,02,JARDIM CARIOCA,NAO RESIDENCIAL,SALA,2,3555.99
2013,02,JARDIM SULACAP,RESIDENCIAL,CASA,2,8511.94
2013,02,JARDIM SULACAP,RESIDENCIAL,APARTAMENTO,5,22533.65
2013,02,MARIA DA GRACA,RESIDENCIAL,CASA,3,4528.67
2013,02,MARIA DA GRACA,RESIDENCIAL,APARTAMENTO,1,3497.23
2013,02,PENHA CIRCULAR,RESIDENCIAL,CASA,7,33992.96
2013,02,PENHA CIRCULAR,RESIDENCIAL,APARTAMENTO,11,56789.55
2013,02,PENHA CIRCULAR,NAO RESIDENCIAL,CASA,1,4183.73
2013,02,PENHA CIRCULAR,NAO RESIDENCIAL,LOJA,4,30694.15
2013,02,PENHA CIRCULAR,NAO RESIDENCIAL,GALPAO,2,11221.79
2013,02,PENHA CIRCULAR,NAO RESIDENCIAL,ESPECIAL,3,40029.53
2013,02,SENADOR CAMARA,RESIDENCIAL,CASA,5,14440.33
